gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSMUSG00000098104,477.6014474462347,-0.2704983315269341,0.0923096817481959,-2.9303354361550564,0.003385962834648677,0.009051598799478727
ENSMUSG00000033845,689.5544219031972,-0.16024434192360554,0.07978115857464978,-2.008548694785722,0.04458501696585701,0.08984601970107504
ENSMUSG00000025903,3002.5346426428323,-0.21923455717409882,0.060789448677608916,-3.606457402448055,3.1040578700603785e-4,0.0010117367913259467
ENSMUSG00000033813,888.686092901569,0.05554277151493623,0.07820611782076599,0.7102100585305875,0.4775738842785071,0.6195581090021874
ENSMUSG00000062588,18.376662005401855,-0.49654795733406254,0.43361558408124196,-1.1451340209235414,0.2521536444798891,0.38322826045253683
ENSMUSG00000033793,1106.2508253775022,-0.20096921463637726,0.07176443820885375,-2.8004011409035625,0.0051039138032710355,0.013142871035030453
ENSMUSG00000025905,1.7766425476492085,2.109927612253625,1.628155394217982,1.2959006368474077,0.1950097198176299,0.31216517108464037
ENSMUSG00000025907,3435.6207394153894,-0.026685711717773758,0.06326683780597002,-0.42179619913381583,0.6731737802374116,0.7824107096250015
ENSMUSG00000090031,28.290176425945315,0.2735635765943484,0.34723726611238515,0.7878289667958857,0.4307967550517912,0.5750901105493854
ENSMUSG00000033740,0.5030785745996177,0.7646188865187368,2.595294448391234,0.2946173937961865,0.7682861733225881,NA
ENSMUSG00000051285,1538.762810327008,0.47526663809965264,0.07245288586570962,6.559664703771117,5.3928899148204935e-11,3.8066335067515385e-10
ENSMUSG00000098201,0.7929671388802859,1.7621698029380515,2.0997819439326317,0.8392156185692908,0.40134832435195994,NA
ENSMUSG00000048538,36.07776046652624,-0.2532354061151934,0.3248059519441432,-0.7796513721483227,0.4355961089311702,0.579728599803589
ENSMUSG00000097797,3.2769394895255295,-0.13417931160814328,1.0401458016499088,-0.12900048377381734,0.8973572660317164,0.9390692537272302
ENSMUSG00000086235,1.3279256082725597,-0.7930602473309326,1.769643719890606,-0.4481468435804452,0.6540472228282079,0.7675825311797067
ENSMUSG00000084353,165.37849151623115,-0.5540073465619628,0.15429368113296818,-3.590602949478708,3.2991388703254213e-4,0.0010693000135521863
ENSMUSG00000076135,2.645952392853191,0.20445976841638816,1.1455895539597474,0.17847558727265792,0.8583494919191654,0.9134854646207345
ENSMUSG00000061024,537.4475188175782,-0.045744788571263253,0.090064806033918,-0.5079096995338664,0.6115166721398688,0.732913208750629
ENSMUSG00000025911,3.463530331379749,0.2966767288075548,0.9741575092293742,0.3045469813626408,0.7607112054706571,0.846764574576669
ENSMUSG00000081441,5.167110232343302,-0.2513490368619053,0.8267983706264217,-0.3040028207499627,0.7611257421559663,0.846764574576669
ENSMUSG00000025912,163.2494673410757,-0.8309277639781251,0.15527984761284266,-5.351162927786142,8.73907947149279e-8,4.574250377975354e-7
ENSMUSG00000045210,3111.9942580527277,-0.10565380466623045,0.05188540085801261,-2.0362915756468407,0.041721085264311585,0.08478892659389997
ENSMUSG00000025915,197.57729206100373,-0.6446186648034938,0.1387417749002121,-4.646175712161142,3.381450144521787e-6,1.4773158009046608e-5
ENSMUSG00000046334,14.19863438190063,-0.2467368846110183,0.4993999141319703,-0.4940667341520931,0.6212590503680424,0.7411293435526671
ENSMUSG00000046101,1.4037368816872093,-2.867775750370224,1.912085607246634,-1.49981556238989,0.1336621849784235,0.22959665903167784
ENSMUSG00000098234,412.3283289424765,0.38467290939508486,0.10303878131965445,3.7332827938028923,1.8900018654420113e-4,6.382891675442502e-4
ENSMUSG00000093178,11.315254833799466,0.7611391533178732,0.6090656536961293,1.2496832627137686,0.21141527379084396,0.3329684175026983
ENSMUSG00000025917,1293.7301615785861,-0.25421278003020825,0.06225813703779182,-4.08320570009823,4.441867209838267e-5,1.6593883686472628e-4
ENSMUSG00000056763,1361.7507550387904,-0.0725785407819965,0.0709033909300611,-1.0236258073127669,0.30601205085413813,0.44567972633732145
ENSMUSG00000067851,6174.884454611458,0.45175602952645577,0.049630820811314404,9.102328394767719,8.841563181507079e-20,1.056923172323661e-18
ENSMUSG00000083422,10.495507097192725,-0.6425366240600242,0.5684107920599891,-1.130408910308325,0.25830396129876937,0.3909200385951264
ENSMUSG00000097628,3.020679889826897,-0.12060184925961505,1.1040599854568451,-0.10923487025001782,0.9130162033215555,0.9477177910562693
ENSMUSG00000025938,23.58460529173005,-1.9285334708517676,0.4242011452962262,-4.546271249468322,5.460465573562137e-6,2.31788818988468e-5
ENSMUSG00000005886,6317.709510119348,0.09186576240307477,0.04391045520238825,2.0921159204489017,0.036428147330956354,0.075372491646604
ENSMUSG00000087782,1.9724908534682697,0.8383183973820382,1.361286860268492,0.6158278771725552,0.5380081264386722,0.6727632457097426
ENSMUSG00000025935,5239.179483299461,-0.2110629470550244,0.047928586448471394,-4.403696472082287,1.0642181406664452e-5,4.3517014808518754e-5
ENSMUSG00000025937,650.6891175761294,-0.39770560756678097,0.08604218648919475,-4.622216424227262,3.79661610718872e-6,1.6482623472365643e-5
ENSMUSG00000097711,6.639851545314503,0.16214320481492062,0.7265623455881336,0.22316488846345298,0.8234071777926583,0.887244474605673
ENSMUSG00000025932,2.255033761008018,-1.8580151383894628,1.3970690446414904,-1.3299379479603732,0.18353871701491414,0.29777425609089947
ENSMUSG00000025930,159.87318125109175,0.7539983472565963,0.16166309539961665,4.664010332059894,3.101058008389819e-6,1.3617788508208153e-5
ENSMUSG00000054493,8.400904937569257,1.0544332077912535,0.6638372225423964,1.588391207942413,0.11219790434948633,0.19881167269828492
